6 2
-33.659992 1.407562 0.055736 -0.000046 -0.000066 0.000019 
985.878418 0.005840 1.372208 -0.000036 -0.000043 -0.000034 

RawData:
256.000000	115.200005	220.415680	-628.434937	-431602080.000000
256.000000	256.000000	219.083557	-527.786865	-431602080.000000
256.000000	396.799988	216.997025	-427.685791	-431602080.000000
256.000000	537.599976	215.880905	-326.562439	-431602080.000000
384.000000	115.200005	310.803925	-629.974976	-431602080.000000
384.000000	256.000000	309.401672	-529.278015	-431602080.000000
384.000000	396.799988	307.488190	-427.751648	-431602080.000000
384.000000	537.599976	306.480743	-325.568665	-431602080.000000
512.000000	115.200005	400.513092	-630.578003	-431602080.000000
512.000000	256.000000	399.955383	-529.595154	-431602080.000000
512.000000	396.799988	399.274048	-427.005585	-431602080.000000
512.000000	537.599976	398.776154	-325.141022	-431602080.000000
640.000000	115.200005	490.964111	-630.397217	-431602080.000000
640.000000	256.000000	491.625916	-528.357727	-431602080.000000
640.000000	396.799988	491.656158	-427.815125	-431602080.000000
640.000000	537.599976	489.662628	-325.486847	-431602080.000000
768.000000	115.200005	582.982300	-629.571350	-431602080.000000
768.000000	256.000000	583.208069	-528.355713	-431602080.000000
768.000000	396.799988	583.640930	-426.639526	-431602080.000000
768.000000	537.599976	582.927063	-323.545563	-431602080.000000
