		In Use		
C:\Matlab\sys\java\jre\win32\jre1.5.0\bin\client\jvm.dll	6d640000	185000		0428b000*
C:\WINDOWS\System32\mswsock.dll	71a50000	0003f000		1000
C:\WINDOWS\System32\wshtcpip.dll	71a90000	8000		8000
C:\WINDOWS\system32\WS2HELP.dll	71aa0000	8000		8000
C:\WINDOWS\system32\WS2_32.dll	71ab0000	17000		01539000*
C:\WINDOWS\system32\WINSPOOL.DRV	73000000	26000		0126a000*
C:\WINDOWS\system32\icmp.Dll	74290000	4000		020fc000*
C:\WINDOWS\system32\IMM32.dll	76390000	0001d000		3000
C:\WINDOWS\system32\comdlg32.dll	763b0000	49000		00747000*
C:\WINDOWS\system32\WINMM.dll	76b40000	0002d000		00083000*
C:\WINDOWS\system32\PSAPI.DLL	76bf0000	0000b000		00095000*
C:\WINDOWS\system32\imagehlp.dll	76c90000	28000		000a8000*
C:\WINDOWS\system32\iphlpapi.dll	76d60000	19000		001a7000*
C:\WINDOWS\system32\DNSAPI.dll	76f20000	27000		00019000*
C:\WINDOWS\system32\WLDAP32.dll	76f60000	0002c000		00024000*
C:\WINDOWS\System32\winrnr.dll	76fb0000	8000		8000
C:\WINDOWS\system32\rasadhlp.dll	76fc0000	6000		0000a000
C:\WINDOWS\system32\CLBCATQ.DLL	76fd0000	0007f000		1000
C:\WINDOWS\system32\COMRes.dll	77050000	000c5000		0000b000
C:\WINDOWS\system32\OLEAUT32.dll	77120000	0008b000		00225000*
C:\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595	b64144ccf	1df_6.0.2600		.2982_x-ww_ac3f9c03\comctl32.dll773d0000    00103000    0000d000
C:\WINDOWS\system32\ole32.dll	774	0013d000		00303000*
C:\WINDOWS\system32\SETUPAPI.dll	77920000	000f3000		0012d000*
C:\WINDOWS\system32\appHelp.dll	77b40000	22000		0009e000*
C:\WINDOWS\system32\VERSION.dll	77c00000	8000		8000
C:\WINDOWS\system32\msvcrt.dll	77c10000	58000		8000
C:\WINDOWS\system32\msv1_0.dll	77c70000	23000		0013d000*
C:\WINDOWS\system32\ADVAPI32.dll	77dd0000	0009b000		5000
C:\WINDOWS\system32\RPCRT4.dll	77e70000	92000		0
C:\WINDOWS\system32\GDI32.dll	77f10000	47000		9000
C:\WINDOWS\system32\SHLWAPI.dll	77f60000	76000		0000a000
C:\WINDOWS\system32\Secur32.dll	77fe0000	11000		0010f000*
C:\Matlab\bin\win32\icuin32.dll	78100000	000aa000		6000
